,aspiration,body-style,bore,city-L/100km,city-mpg,compression-ratio,curb-weight,diesel,drive-wheels,engine-location,engine-size,engine-type,fuel-system,gas,height,highway-mpg,horsepower,horsepower-binned,length,make,normalized-losses,num-of-cylinders,num-of-doors,peak-rpm,stroke,symboling,wheel-base,width
58,0,0,3.39,9.038461538461537,26.0,8.6,2385.0,False,1,0,122,1,4,True,53.7,32,84,0,0.8543969245555022,2,129,4,2,4800.0,3.39,1,98.8,0.9236111111111112
0,0,4,3.47,11.190476190476188,21.0,9.0,2548.0,False,0,0,130,2,6,True,48.8,27,111,1,0.8111484863046613,15,122,4,2,5000.0,2.68,3,88.6,0.8902777777777777
93,0,2,3.15,7.580645161290323,31.0,9.4,1971.0,False,1,0,97,1,4,True,54.5,37,69,0,0.794329649207112,10,122,4,4,5200.0,3.29,1,94.5,0.8861111111111111
91,0,2,3.15,7.580645161290323,31.0,9.4,1951.0,False,1,0,97,1,4,True,54.5,37,69,0,0.794329649207112,10,128,4,2,5200.0,3.29,1,94.5,0.8861111111111111
193,0,3,3.78,9.791666666666666,24.0,9.5,3042.0,False,0,0,141,1,6,True,57.5,28,114,1,0.9072561268620856,0,74,4,4,5400.0,3.15,-1,104.3,0.9333333333333332
191,0,3,3.78,10.217391304347826,23.0,9.5,3034.0,False,0,0,141,1,6,True,57.5,28,114,1,0.9072561268620856,0,74,4,4,5400.0,3.15,-1,104.3,0.9333333333333332
71,0,1,3.8,16.785714285714285,14.0,8.0,3715.0,False,0,0,304,4,6,True,55.4,16,184,2,0.957232099951946,13,122,8,2,4500.0,3.35,1,112.0,1.0
85,0,2,3.17,10.217391304347826,23.0,7.5,2403.0,False,1,0,110,1,3,True,51.6,30,116,1,0.8284478616049976,21,137,4,4,5500.0,3.46,-1,96.3,0.9083333333333334
33,0,0,2.91,7.833333333333332,30.0,9.2,1956.0,False,1,0,92,1,1,True,52.6,34,76,0,0.7208073041806824,5,101,4,2,6000.0,3.41,1,93.7,0.8888888888888888
200,1,2,3.78,12.36842105263158,19.0,9.5,3062.0,False,0,0,141,1,6,True,55.5,25,114,1,0.9072561268620856,0,95,4,4,5400.0,3.15,-1,109.1,0.9569444444444444
196,0,2,3.78,10.217391304347826,23.0,9.5,2952.0,False,0,0,141,1,6,True,55.5,28,114,1,0.9072561268620856,0,95,4,4,5400.0,3.15,-1,109.1,0.9569444444444444
114,1,2,3.61,13.055555555555555,18.0,7.0,3130.0,False,0,0,134,0,6,True,56.0,24,142,1,0.897164824603556,1,161,4,4,5600.0,3.21,0,108.0,0.9486111111111112
173,0,0,3.31,8.703703703703704,27.0,8.7,2458.0,False,1,0,122,1,6,True,53.9,32,92,0,0.8438250840941854,6,65,4,4,4200.0,3.54,-1,102.4,0.9236111111111112
64,1,2,3.58,10.681818181818182,22.0,21.5,3515.0,True,0,0,183,1,2,False,56.5,25,123,1,0.9173474291206152,13,93,5,4,4350.0,3.64,-1,110.0,0.9763888888888888
125,0,4,3.74,13.823529411764708,17.0,9.5,2800.0,False,0,1,194,3,6,True,51.6,25,207,2,0.8116290245074483,8,122,6,2,5900.0,2.9,3,89.5,0.9027777777777778
59,0,2,3.39,9.038461538461537,26.0,8.6,2410.0,False,1,0,122,1,4,True,55.5,32,84,0,0.8543969245555022,2,115,4,4,4800.0,3.39,0,98.8,0.9236111111111112
40,0,2,3.15,9.791666666666666,24.0,9.0,2465.0,False,1,0,110,1,6,True,54.1,28,101,0,0.8428640076886112,5,85,4,4,5800.0,3.58,0,96.5,0.9055555555555556
115,0,0,2.97,6.351351351351353,37.0,9.4,1918.0,False,1,0,90,1,4,True,50.8,41,68,0,0.7558865929841423,20,119,4,2,5500.0,3.23,1,93.7,0.8861111111111111
19,0,2,3.03,6.184210526315789,38.0,9.6,1909.0,False,1,0,90,1,4,True,52.0,43,70,0,0.7630946660259491,14,81,4,4,5400.0,3.11,0,94.5,0.8833333333333333
22,1,0,3.03,9.791666666666666,24.0,7.6,2128.0,False,1,0,98,1,6,True,50.8,30,102,1,0.7558865929841423,18,118,4,2,5500.0,3.39,1,93.7,0.8861111111111111
94,0,3,3.15,7.580645161290323,31.0,9.4,2037.0,False,1,0,97,1,4,True,53.5,37,69,0,0.8178760211436809,10,103,4,4,5200.0,3.29,1,94.5,0.8861111111111111
155,0,0,3.27,6.184210526315789,38.0,22.5,2275.0,True,1,0,110,1,2,False,52.8,47,56,0,0.7991350312349833,6,91,4,4,4500.0,3.35,0,95.7,0.8944444444444445
57,0,2,3.39,9.038461538461537,26.0,8.6,2410.0,False,1,0,122,1,4,True,55.5,32,84,0,0.8543969245555022,2,115,4,4,4800.0,3.39,0,98.8,0.9236111111111112
35,0,3,2.92,7.833333333333332,30.0,9.2,2024.0,False,1,0,92,1,1,True,58.3,34,76,0,0.7549255165785679,5,78,4,4,6000.0,3.41,0,96.5,0.8875
137,0,2,3.62,7.34375,32.0,9.5,2145.0,False,1,0,108,3,4,True,52.5,37,82,0,0.8265257087938491,17,102,4,4,4800.0,2.64,0,97.2,0.9083333333333334
119,0,2,2.97,7.580645161290323,31.0,9.4,2191.0,False,1,0,98,1,4,True,50.8,38,68,0,0.8039404132628545,20,154,4,4,5500.0,3.23,1,93.7,0.8861111111111111
129,0,2,3.54,11.190476190476188,21.0,9.3,2695.0,False,1,0,121,1,6,True,56.1,28,110,1,0.8966842864007688,16,104,4,4,5250.0,3.07,2,99.1,0.9236111111111112
15,0,2,3.62,14.6875,16.0,8.0,3380.0,False,0,0,209,1,6,True,53.7,22,182,2,0.9312830370014415,3,122,6,2,5400.0,3.39,0,103.5,0.9430555555555556
82,0,2,3.35,9.4,25.0,8.5,2365.0,False,1,0,122,1,4,True,51.6,32,88,0,0.8284478616049976,21,125,4,4,5000.0,3.46,1,96.3,0.9083333333333334
77,1,0,3.17,10.217391304347826,23.0,7.5,2370.0,False,1,0,110,1,3,True,49.4,30,116,1,0.8313310908217203,21,153,4,2,5500.0,3.46,3,96.3,0.9083333333333334
76,1,0,3.03,9.791666666666666,24.0,7.6,2145.0,False,1,0,98,1,3,True,50.8,30,102,1,0.7558865929841423,21,161,4,2,5500.0,3.39,1,93.0,0.8861111111111111
122,0,0,3.94,12.36842105263158,19.0,9.5,2778.0,False,0,0,151,1,6,True,50.2,27,143,1,0.8116290245074483,8,186,4,2,5500.0,3.11,3,94.5,0.9486111111111112
172,0,2,3.31,8.703703703703704,27.0,8.7,2414.0,False,1,0,122,1,6,True,54.9,32,92,0,0.8438250840941854,6,65,4,4,4200.0,3.54,-1,102.4,0.9236111111111112
78,0,0,3.35,9.4,25.0,8.5,2328.0,False,1,0,122,1,4,True,49.4,32,88,0,0.8313310908217203,21,153,4,2,5000.0,3.46,3,96.3,0.9083333333333334
190,0,2,3.78,10.217391304347826,23.0,9.5,2912.0,False,0,0,141,1,6,True,56.2,28,114,1,0.9072561268620856,0,103,4,4,5400.0,3.15,-2,104.3,0.9333333333333332
124,0,1,3.74,13.823529411764708,17.0,9.5,2756.0,False,0,1,194,3,6,True,51.6,25,207,2,0.8116290245074483,8,122,6,2,5900.0,2.9,3,89.5,0.9027777777777778
63,0,2,3.43,7.580645161290323,31.0,22.0,2700.0,True,0,0,134,1,2,False,54.4,39,72,0,0.8409418548774628,2,122,4,4,4200.0,3.64,0,104.9,0.9180555555555556
49,0,0,3.03,7.580645161290323,31.0,9.0,1905.0,False,1,0,91,1,4,True,54.1,38,68,0,0.7645362806343105,2,104,4,2,5000.0,3.15,1,93.1,0.8916666666666667
143,0,3,3.62,9.4,25.0,9.0,2455.0,False,1,0,108,3,6,True,53.0,31,94,0,0.8337337818356559,17,89,4,4,5200.0,2.64,0,97.0,0.9083333333333334
62,0,2,3.76,12.36842105263158,19.0,8.0,2670.0,False,0,0,140,1,6,True,54.4,27,120,1,0.8409418548774628,2,118,4,4,5000.0,3.16,0,104.9,0.9180555555555556
142,0,3,3.62,8.392857142857142,28.0,9.0,2290.0,False,1,0,108,3,4,True,53.0,32,82,0,0.8337337818356559,17,89,4,4,4800.0,2.64,0,97.0,0.9083333333333334
